id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,house_age,is_renovated,land_usage_ratio,privacy_score,dist_downtown,zip_wealth_rank,geo_cluster
1000102,280000,6,3.0,2400,9373,2.0,0,0,3,7,2400,0,47.3262,-122.214,2060,7316,False,False,False,False,False,False,False,True,False,False,False,2014,24,0,0.2560546249866638,4.55,32.375512974382914,235000.0,72
1200019,647500,4,1.75,2060,26036,1.0,0,0,4,8,1160,900,47.4444,-122.351,2590,21891,False,False,False,True,False,False,False,False,False,False,False,2014,68,0,0.07912121677677063,10.052509652509652,18.047221233980046,390000.0,36
1200021,400000,3,1.0,1460,43000,1.0,0,0,3,7,1460,0,47.4434,-122.347,2250,20023,False,False,False,False,False,False,True,False,False,False,False,2014,63,0,0.03395348837209302,19.11111111111111,18.137073385604875,390000.0,36
2800031,235000,3,1.0,1430,7599,1.5,0,0,4,6,1010,420,47.4783,-122.265,1290,10320,False,False,True,False,False,False,False,False,False,False,False,2015,85,0,0.1881826556125806,5.890697674418605,15.087352115846262,235000.0,12
3600057,402500,4,2.0,1650,3504,1.0,0,0,3,7,760,890,47.5803,-122.294,1480,3504,False,True,False,False,False,False,False,False,False,False,False,2015,64,1,0.4708904109589041,2.3675675675675674,4.056715941193887,445000.0,71
5200087,487000,4,2.5,2540,5001,2.0,0,0,3,9,2540,0,47.5423,-122.302,2360,6834,False,False,False,False,False,True,False,False,False,False,False,2014,10,0,0.5078984203159368,2.1190677966101696,7.455504413783523,349950.0,71
7200080,239000,4,2.0,1980,10585,1.5,0,0,2,6,1980,0,47.4836,-122.214,1360,7810,False,False,False,False,False,False,False,False,False,True,False,2014,91,0,0.18705715635333017,7.783088235294118,16.26103968426187,298475.0,18
7200179,150000,2,1.0,840,12750,1.0,0,0,3,6,840,0,47.484,-122.211,1480,6969,False,False,False,False,False,False,False,False,True,False,False,2014,90,0,0.06588235294117648,8.614864864864865,16.3478683202844,298475.0,0
7400062,299800,2,1.0,790,5240,1.0,0,0,4,6,790,0,47.5303,-122.288,1430,5320,False,False,False,True,False,False,False,False,False,False,False,2014,90,0,0.15076335877862596,3.664335664335664,9.065050801885828,361431.0,26
7600057,520000,3,2.0,1410,2700,2.0,0,0,4,7,1410,0,47.6029,-122.302,1750,4000,False,False,False,False,False,False,True,False,False,False,False,2014,113,0,0.5222222222222223,1.542857142857143,2.2863102787553737,575000.0,27
7600125,630000,5,1.0,3020,4800,2.0,0,0,3,7,3020,0,47.6025,-122.313,1350,1307,False,False,False,False,False,False,False,False,False,False,True,2014,114,0,0.6291666666666667,3.5555555555555554,1.4899106944629954,575000.0,27
7600136,411000,2,2.0,1130,1148,2.0,0,0,3,9,800,330,47.6023,-122.314,1350,1201,False,False,False,False,False,True,False,False,False,False,False,2014,8,0,0.9843205574912892,0.8503703703703703,1.4246180501031762,575000.0,27
9000025,496000,2,1.0,1420,4635,2.0,0,0,4,7,1420,0,47.68,-122.304,1810,4635,False,False,False,False,False,False,False,False,False,False,True,2014,74,1,0.3063646170442287,2.5607734806629834,8.471908611377803,570000.0,16
11200070,570000,3,2.5,1530,3296,2.0,0,0,3,8,1530,0,47.6181,-122.138,1530,4099,False,False,False,False,False,True,False,False,False,False,False,2014,17,0,0.4641990291262136,2.154248366013072,14.610085426233999,550000.0,50
11200290,546000,3,2.5,1530,3464,2.0,0,0,3,8,1530,0,47.6179,-122.141,1530,3446,False,False,False,False,True,False,False,False,False,False,False,2014,17,0,0.4416859122401848,2.2640522875816993,14.384138296895845,550000.0,50
11200400,617000,3,2.5,1910,4488,2.0,0,0,3,8,1910,0,47.6176,-122.14,1530,3696,False,False,False,False,False,False,False,True,False,False,False,2014,17,0,0.4255793226381462,2.933333333333333,14.4558721070429,550000.0,50
11300120,635000,3,2.5,3350,4007,2.0,0,0,3,8,2550,800,47.7277,-122.207,2340,4167,False,False,False,False,True,False,False,False,False,False,False,2014,10,0,0.8360369353631145,1.7123931623931623,16.44024830936784,445950.0,48
11500240,872750,3,2.5,2870,13695,2.0,0,0,3,10,2870,0,47.6944,-122.102,2840,8472,False,False,True,False,False,False,False,False,False,False,False,2015,24,0,0.20956553486673968,4.822183098591549,19.830954259217776,620000.0,11
11500890,843000,3,2.5,3130,8750,2.0,0,0,3,10,3130,0,47.6954,-122.103,2860,9003,False,True,False,False,False,False,False,False,False,False,False,2015,24,0,0.3577142857142857,3.0594405594405596,19.821148962060477,620000.0,11
11501310,715000,3,3.25,3060,9055,2.0,0,0,3,10,2460,600,47.6971,-122.101,2990,9598,False,False,False,False,False,False,False,False,False,True,False,2014,21,0,0.3379348426283821,3.028428093645485,20.045399823493874,620000.0,11
11501330,795000,3,3.5,3190,10223,2.0,0,0,3,10,2560,630,47.6968,-122.102,3120,9735,False,False,False,False,False,False,False,True,False,False,False,2014,21,0,0.31204147510515506,3.2766025641025642,19.963938820706495,620000.0,11
11510310,835000,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,47.6993,-122.102,2260,9984,False,False,False,False,False,False,False,True,False,False,False,2014,22,0,0.23337309871756637,5.934513274336283,20.10529598201713,620000.0,11
11510700,755000,4,2.5,2660,10452,2.0,0,0,3,9,2660,0,47.6972,-122.104,2890,9025,False,False,False,True,False,False,False,False,False,False,False,2014,22,0,0.25449674703406044,3.6166089965397923,19.857317245742006,620000.0,11
11520030,640000,4,2.5,2341,9594,2.0,0,0,3,9,2341,0,47.6993,-122.115,2850,9421,False,False,False,False,True,False,False,False,False,False,False,2014,18,0,0.24400667083593913,3.3663157894736844,19.277077358539863,620000.0,11
11520370,738000,3,2.5,2620,9112,2.0,0,0,3,9,2620,0,47.6972,-122.116,2620,9067,False,False,False,False,False,False,False,False,False,False,True,2014,20,0,0.28753292361720806,3.477862595419847,19.089411285657363,620000.0,11
11900140,254000,3,2.5,1850,4597,2.0,0,0,3,8,1850,0,47.3755,-122.136,2210,5000,False,False,False,True,False,False,False,False,False,False,False,2014,12,0,0.40243637154666084,2.0800904977375567,29.582928857203747,298000.0,10
13001795,319500,4,2.75,2500,5100,1.5,0,0,4,7,1420,1080,47.523,-122.332,1430,5100,False,False,False,False,False,False,False,False,True,False,False,2014,108,0,0.49019607843137253,3.5664335664335662,9.251420939308735,349950.0,6
13001991,207000,3,2.5,1520,2550,2.0,0,0,3,7,1520,0,47.5245,-122.33,1460,2550,False,False,False,False,False,False,False,True,False,False,False,2014,10,0,0.596078431372549,1.7465753424657535,9.085991733731719,349950.0,6
13002460,205000,2,1.75,1740,5100,1.0,0,0,3,6,580,1160,47.5211,-122.33,1440,5100,False,True,False,False,False,False,False,False,False,False,False,2015,100,0,0.3411764705882353,3.5416666666666665,9.463999992233381,349950.0,6
13002495,295000,3,1.5,1640,7222,2.0,0,0,4,7,1640,0,47.5215,-122.33,1240,5100,False,False,False,False,False,True,False,False,False,False,False,2014,107,0,0.22708391027416228,5.824193548387097,9.4195282053912,349950.0,6
16000397,189000,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,47.3089,-122.21,1060,5095,False,False,False,False,False,False,False,False,False,False,True,2014,94,0,0.1218274111675127,9.29245283018868,34.30913132708103,235000.0,24
16000435,218500,2,1.0,1600,8961,1.0,0,0,4,7,1390,210,47.3098,-122.21,1502,6798,False,True,False,False,False,False,False,False,False,False,False,2015,66,0,0.17855150094855485,5.9660452729693745,34.21269402624108,235000.0,72
16000545,250000,4,1.0,1320,11212,1.0,0,0,5,6,1320,0,47.3098,-122.209,1060,6766,False,True,False,False,False,False,False,False,False,False,False,2015,101,0,0.1177310024973243,10.577358490566038,34.23294290920137,235000.0,72
23500180,570000,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,47.6912,-122.115,2080,8260,False,False,False,True,False,False,False,False,False,False,False,2014,40,0,0.335,2.8846153846153846,18.80983500963896,620000.0,11
23500220,550120,5,2.5,2620,8050,1.0,0,0,3,8,1520,1100,47.6919,-122.115,2030,7676,False,False,False,False,False,False,False,False,True,False,False,2014,40,0,0.32546583850931676,3.9655172413793105,18.848972288333453,620000.0,11
23520190,490000,3,1.75,1470,9750,1.0,0,0,4,7,1470,0,47.6975,-122.12,1800,9600,False,True,False,False,False,False,False,False,False,False,False,2015,37,0,0.15076923076923077,5.416666666666667,18.853920543634143,620000.0,11
31200020,1038000,5,2.75,3050,8904,1.0,0,0,4,8,1650,1400,47.5709,-122.214,2920,8904,False,True,False,False,False,False,False,False,False,False,False,2015,59,0,0.34254267744833783,3.0493150684931507,9.68776172693851,997000.0,63
34000005,343566,2,1.0,1100,4200,1.0,0,0,3,7,1100,0,47.5312,-122.392,1240,4000,False,False,False,False,True,False,False,False,False,False,False,2014,61,0,0.2619047619047619,3.3870967741935485,9.473364436836135,484975.0,79
34001160,590000,3,2.0,3030,9374,1.0,0,1,4,7,2100,930,47.5289,-122.391,1990,6012,False,False,False,False,False,False,False,True,False,False,False,2014,56,0,0.32323447834435676,4.710552763819096,9.664776801156433,484975.0,79
34001304,480000,5,2.25,2240,5500,1.0,0,0,3,7,1490,750,47.5305,-122.391,2010,6050,False,False,True,False,False,False,False,False,False,False,False,2015,56,0,0.4072727272727273,2.736318407960199,9.506867578325885,484975.0,79
34001540,573300,2,1.75,1290,6600,1.0,0,2,3,7,870,420,47.531,-122.39,2380,7370,False,False,True,False,False,False,False,False,False,False,False,2015,64,0,0.19545454545454546,2.773109243697479,9.422846579124638,484975.0,79
37000335,446450,3,1.5,1480,7749,1.0,0,0,5,7,1480,0,47.5144,-122.379,1140,5320,False,False,False,False,False,False,True,False,False,False,False,2014,55,0,0.19099238611433733,6.7973684210526315,10.797298630170726,398000.0,62
37000435,325000,2,1.0,1130,5070,1.0,0,0,4,7,1130,0,47.5141,-122.377,860,6300,True,False,False,False,False,False,False,False,False,False,False,2015,60,0,0.22287968441814596,5.895348837209302,10.781007576341695,287000.0,62
40000235,380000,5,2.5,2130,8428,2.0,0,0,3,7,2130,0,47.4726,-122.282,1500,11810,False,False,True,False,False,False,False,False,False,False,False,2015,2,0,0.25272899857617465,5.618666666666667,15.324283675256515,235000.0,12
40000471,170000,2,1.0,1500,18540,1.0,0,0,3,8,1500,0,47.4727,-122.281,1700,9355,False,False,False,False,True,False,False,False,False,False,False,2014,65,0,0.08090614886731391,10.905882352941177,15.332111387280127,235000.0,12
40000669,499950,4,2.5,2910,20067,2.0,0,0,3,9,2910,0,47.4714,-122.273,1730,21420,False,True,False,False,False,False,False,False,False,False,False,2015,14,0,0.14501420242188667,11.59942196531792,15.631838071139546,235000.0,12
40001065,250000,2,1.0,1110,26051,1.0,0,0,3,6,1110,0,47.4711,-122.291,2240,12255,False,False,False,True,False,False,False,False,False,False,False,2014,64,0,0.04260872903151511,11.629910714285714,15.33597996891681,235000.0,12
41000454,130000,2,1.0,880,9000,1.0,0,0,3,5,880,0,47.4672,-122.291,1410,10000,False,False,False,False,False,False,True,False,False,False,False,2014,87,0,0.09777777777777778,6.382978723404255,15.761037847908113,259000.0,12
42000006,235000,5,1.0,1500,9282,1.5,0,0,5,6,1500,0,47.4702,-122.281,1520,9639,False,False,False,False,False,False,False,True,False,False,False,2014,49,0,0.16160310277957338,6.106578947368421,15.601435672976688,235000.0,12
